name,fullName,number,weight,colorCPK,colorVmd,colorJmol,radiusBonds,radiusCovalent,radiusVDW,HValency
H,Hydrogen,1,1.008,0xFFFFFF,0xFFFFFF,0xFFFFFF,0.23,0.32,1.2,[1]
D,Deuterium,1,2.014,,,0xFFFFC0,0.23,0.32,1.2,[1]
T,Tritium,1,3.016,,,0xFFFFA0,0.23,0.32,1.2,[1]
He,Helium,2,4.003,,,0xD9FFFF,0.93,0.46,1.4,[0]
Li,Lithium,3,6.941,,,0xCC80FF,0.68,1.33,1.82,[1]
Be,Beryllium,4,9.012,,,0xC2FF00,0.35,1.02,1.7,[2]
B,Boron,5,10.81,,,0xFFB5B5,0.83,0.85,2.08,[3]
C,Carbon,6,12.011,0x202020,0x40BFBF,0x909090,0.68,0.75,1.95,[4]
N,Nitrogen,7,14.007,0x2060FF,0x0000FF,0x3050F8,0.68,0.71,1.85,"[3, 5]"
O,Oxygen,8,15.999,0xEE2010,0xFF0000,0xFF0D0D,0.68,0.63,1.7,"[2, 4]"
F,Fluorine,9,18.998,0x00FF00,,0x90E050,0.64,0.64,1.73,[1]
Ne,Neon,10,20.18,,,0xB3E3F5,1.12,0.67,1.54,[0]
Na,Sodium,11,22.99,,,0xAB5CF2,0.97,1.55,2.27,[1]
Mg,Magnesium,12,24.305,,,0x8AFF00,1.1,1.39,1.73,[2]
Al,Aluminum,13,26.981,,,0xBFA6A6,1.35,1.26,2.05,[3]
Si,Silicon,14,28.086,,,0xF0C8A0,1.2,1.16,2.1,[4]
P,Phosphorus,15,30.974,0x8020FF,0x808033,0xFF8000,0.75,1.11,2.08,"[3, 5]"
S,Sulfur,16,32.07,0xFFFF00,0xFFFF00,0xFFFF30,1.02,1.03,2,"[2, 4, 6]"
Cl,Chlorine,17,35.453,0x00BB00,,0x1FF01F,0.99,0.99,1.97,"[1, 3, 5, 7]"
Ar,Argon,18,39.948,,,0x80D1E3,1.57,0.96,1.88,[0]
K,Potassium,19,39.1,,,0x8F40D4,1.33,1.96,2.75,[1]
Ca,Calcium,20,40.08,,,0x3DFF00,0.99,1.71,1.973,[2]
Sc,Scandium,21,44.956,,,0xE6E6E6,1.44,1.48,1.7,[0]
Ti,Titanium,22,47.88,,,0xBFC2C7,1.47,1.36,1.7,[0]
V,Vanadium,23,50.941,,,0xA6A6AB,1.33,1.34,1.7,[0]
Cr,Chromium,24,52,,,0x8A99C7,1.35,1.22,1.7,[0]
Mn,Manganese,25,54.938,,,0x9C7AC7,1.35,1.19,1.7,[0]
Fe,Iron,26,55.847,0xD0D0D0,,0xE06633,1.34,1.16,1.7,[0]
Co,Cobalt,27,58.93,0xD0D0D0,,0xF090A0,1.33,1.11,1.7,[0]
Ni,Nickel,28,58.69,0xD0D0D0,,0x50D050,1.5,1.1,1.63,[0]
Cu,Copper,29,63.55,0xD0D0D0,,0xC88033,1.52,1.12,1.4,[0]
Zn,Zinc,30,65.39,,,0x7D80B0,1.45,1.18,1.39,[0]
Ga,Gallium,31,69.72,,,0xC28F8F,1.22,1.24,1.87,[3]
Ge,Germanium,32,72.61,,,0x668F8F,1.17,1.21,1.7,[4]
As,Arsenic,33,74.92,,,0xBD80E3,1.21,1.21,1.85,"[3, 5]"
Se,Selenium,34,78.96,,,0xFFA100,1.22,1.16,1.9,"[2, 4, 6]"
Br,Bromine,35,79.9,0x008800,,0xA62929,1.21,1.14,2.1,"[1, 3, 5, 7]"
Kr,Krypton,36,83.8,,,0x5CB8D1,1.91,1.17,2.02,[0]
Rb,Rubidium,37,85.47,,,0x702EB0,1.47,2.1,1.7,[1]
Sr,Strontium,38,87.62,,,0x00FF00,1.12,1.85,1.7,[2]
Y,Yttrium,39,88.91,,,0x94FFFF,1.78,1.63,1.7,[0]
Zr,Zirconium,40,91.22,,,0x94E0E0,1.56,1.54,1.7,[0]
Nb,Niobium,41,92.91,,,0x73C2C9,1.48,1.47,1.7,[0]
Mo,Molybdenum,42,95.94,,,0x54B5B5,1.47,1.38,1.7,[0]
Tc,Technetium,43,98.91,,,0x3B9E9E,1.35,1.28,1.7,[0]
Ru,Ruthenium,44,101.07,,,0x248F8F,1.4,1.25,1.7,[0]
Rh,Rhodium,45,102.91,,,0x0A7D8C,1.45,1.25,1.7,[0]
Pd,Palladium,46,106.42,,,0x006985,1.5,1.2,1.63,[0]
Ag,Silver,47,107.87,,,0xC0C0C0,1.59,1.28,1.72,[0]
Cd,Cadmium,48,112.41,,,0xFFD98F,1.69,1.36,1.58,[0]
In,Indium,49,114.82,,,0xA67573,1.63,1.42,1.93,[3]
Sn,Tin,50,118.71,,,0x668080,1.46,1.4,2.17,"[2, 4]"
